chrosome,start,end,sample_name,n_spliced_reads,strand,junction_name
chr12,57623913,57624003,10_Control.SJ.out,0,+,RP11-571M6.19|annotated|1
chr12,57623913,57624003,10_Control.SJ.out,0,+,SLC26A10|annotated|1
chr12,57623913,57624003,10_Control.SJ.out,0,+,RP11-571M6.19|annotated|1
chr12,57623913,57624003,10_Control.SJ.out,0,+,SLC26A10|annotated|1
chr12,57623913,57624003,10_Control.SJ.out,0,+,RP11-571M6.19|annotated|1
chr12,109939247,109945260,10_Control.SJ.out,1,-,GIT2|annotated|1
chr12,121244615,121245140,10_Control.SJ.out,1,-,CAMKK2|annotated|1
chr13,52019143,52028319,10_Control.SJ.out,3,+,ALG11|annotated|1
chr13,75804541,75809154,10_Control.SJ.out,1,+,LMO7|annotated|1
chr14,21431858,21437194,10_Control.SJ.out,1,-,CHD8|annotated|1
chr14,50758630,50759857,10_Control.SJ.out,2,-,NIN|annotated|1
chr14,50979549,50981854,10_Control.SJ.out,1,-,TRIM9|novel_donor|1
chr14,56634952,56635122,10_Control.SJ.out,1,+,TMEM260|novel_acceptor|1
chr14,72959028,72959111,10_Control.SJ.out,1,+,DCAF4|annotated|1
chr14,75053659,75056447,10_Control.SJ.out,2,-,ACYP1|novel_donor|1
chr14,94096965,94102477,10_Control.SJ.out,1,+,IFI27L1|annotated|1
chr14,100845533,100845876,10_Control.SJ.out,2,+,MEG3|annotated|1
chr15,30903887,30904512,10_Control.SJ.out,1,+,FAN1|annotated|1
chr15,42231915,42233213,10_Control.SJ.out,1,-,TMEM87A|annotated|1
chr16,18319298,18319795,10_Control.SJ.out,0,-,NPIPA8|annotated|1
chr16,28879116,28879501,10_Control.SJ.out,2,+,ATP2A1|annotated|1
chr16,69982545,69982658,10_Control.SJ.out,0,-,NPIPB14P|annotated|1
chr17,655953,697418,10_Control.SJ.out,1,-,VPS53|annotated|1
chr17,4718023,4718612,10_Control.SJ.out,1,+,ARRB2|annotated|1
chr17,4982175,4982757,10_Control.SJ.out,1,-,CAMTA2|annotated|1
chr17,8460160,8463320,10_Control.SJ.out,3,+,NDEL1|annotated|1
chr17,8463354,8466930,10_Control.SJ.out,3,+,NDEL1|annotated|1
chr17,15677277,15677575,10_Control.SJ.out,0,-,TRIM16|annotated|1
chr17,20110562,20204333,10_Control.SJ.out,7,+,SPECC1|annotated|1
chr17,35844818,35844840,10_Control.SJ.out,0,+,TAF15|none|2
chr17,35844839,35844861,10_Control.SJ.out,0,+,TAF15|none|1
chr17,77214019,77216549,10_Control.SJ.out,0,+,SEC14L1|annotated|1
chr17,77216218,77216271,10_Control.SJ.out,0,+,SEC14L1|none|1
chr17,78692493,78696007,10_Control.SJ.out,2,-,CYTH1|annotated|1
chr17,78696009,78698269,10_Control.SJ.out,2,-,CYTH1|annotated|1
chr18,5406968,5419711,10_Control.SJ.out,0,-,EPB41L3|annotated|1
chr18,57620648,57621708,10_Control.SJ.out,1,-,NARS1|annotated|1
chr19,24092015,24105940,10_Control.SJ.out,2,+,ZNF254|annotated|1
chr19,34285273,34299679,10_Control.SJ.out,1,+,GARRE1|annotated|1
chr19,34390843,34391544,10_Control.SJ.out,0,+,GPI|none|1
chr19,34391409,34392059,10_Control.SJ.out,0,+,GPI|none|1
chr19,34391559,34391912,10_Control.SJ.out,1,+,GPI|none|1
chr19,34391694,34391993,10_Control.SJ.out,3,+,GPI|none|1
chr19,34391694,34392043,10_Control.SJ.out,0,+,GPI|none|2
chr19,52543347,52553107,10_Control.SJ.out,5,+,ZNF808|annotated|1
chr2,62831158,62859169,10_Control.SJ.out,6,+,EHBP1|annotated|2
chr2,119339971,119340159,10_Control.SJ.out,4,-,C2orf76|annotated|1
chr2,121410969,121418622,10_Control.SJ.out,2,-,CLASP1|annotated|1
chr2,159395834,159397074,10_Control.SJ.out,5,-,BAZ2B|annotated|1
chr2,159397100,159397345,10_Control.SJ.out,7,-,BAZ2B|annotated|1
chr2,178426661,178430770,10_Control.SJ.out,1,+,CHROMR|annotated|1
chr2,208253959,208254031,10_Control.SJ.out,0,-,IDH1|annotated|1
chr2,208273733,208274018,10_Control.SJ.out,2,+,PIKFYVE|annotated|1
chr2,240728412,240734719,10_Control.SJ.out,2,-,KIF1A|annotated|1
chr2,241316540,241317499,10_Control.SJ.out,4,+,SEPTIN2|annotated|1
chr20,13587370,13616857,10_Control.SJ.out,1,-,TASP1|annotated|1
chr20,36214440,36221864,10_Control.SJ.out,1,+,EPB41L1|novel_exon_skip|1
chr21,29070337,29071952,10_Control.SJ.out,1,-,CCT8|annotated|1
chr22,28742728,28743882,10_Control.SJ.out,1,+,HSCB|annotated|1
chr3,10329125,10331983,10_Control.SJ.out,10,-,ATP2B2|annotated|1
chr3,37066325,37072790,10_Control.SJ.out,1,-,LRRFIP2|annotated|1
chr3,58412963,58420536,10_Control.SJ.out,6,+,PXK|annotated|1
chr3,62466413,62467298,10_Control.SJ.out,1,-,CADPS|annotated|1
chr3,62467312,62474173,10_Control.SJ.out,1,-,CADPS|annotated|1
chr3,125315053,125323309,10_Control.SJ.out,3,-,ZNF148|annotated|1
chr3,128262224,128341233,10_Control.SJ.out,0,+,EEFSEC|annotated|1
chr3,138187599,138221926,10_Control.SJ.out,1,+,ARMC8|annotated|1
chr3,169774561,169778884,10_Control.SJ.out,0,+,MYNN|annotated|1
chr3,170178938,170181687,10_Control.SJ.out,1,-,PHC3|annotated|1
chr3,197835738,197839321,10_Control.SJ.out,1,+,LRCH3|annotated|4
chr4,16191523,16196658,10_Control.SJ.out,1,-,TAPT1|annotated|1
chr4,27007700,27007983,10_Control.SJ.out,2,+,STIM2|annotated|1
chr4,39304928,39311445,10_Control.SJ.out,1,-,RFC1|annotated|2
chr4,41473195,41494536,10_Control.SJ.out,3,+,LIMCH1|novel_donor|1
chr4,86890158,86891456,10_Control.SJ.out,2,-,C4orf36|annotated|1
chr4,157220725,157221667,10_Control.SJ.out,1,+,GRIA2|annotated|3
chr4,185639035,185646668,10_Control.SJ.out,4,-,SORBS2|annotated|1
chr5,304221,311293,10_Control.SJ.out,0,+,PDCD6|annotated|1
chr5,34949677,34950170,10_Control.SJ.out,7,+,DNAJC21|annotated|1
chr5,131677872,131698917,10_Control.SJ.out,1,-,FNIP1|novel_exon_skip|1
chr6,8430157,8435343,10_Control.SJ.out,1,-,SLC35B3|annotated|1
chr6,12957544,13053365,10_Control.SJ.out,2,+,PHACTR1|annotated|1
chr6,80169030,80169811,10_Control.SJ.out,3,+,BCKDHB|annotated|1
chr6,80169904,80171282,10_Control.SJ.out,1,+,BCKDHB|novel_donor|1
chr6,87569590,87589922,10_Control.SJ.out,1,-,RARS2|annotated|1
chr6,127266925,127280231,10_Control.SJ.out,1,+,RNF146|annotated|1
chr6,127473391,127475302,10_Control.SJ.out,1,-,SOGA3|annotated|1
chr6,127473391,127475302,10_Control.SJ.out,1,-,RP3-403A15.5|annotated|1
chr6,127473391,127475302,10_Control.SJ.out,1,-,SOGA3|annotated|1
chr6,127473391,127475302,10_Control.SJ.out,1,-,RP3-403A15.5|annotated|1
chr6,127473391,127475302,10_Control.SJ.out,1,-,SOGA3|annotated|1
chr6,127473391,127475302,10_Control.SJ.out,1,-,RP3-403A15.5|annotated|1
chr6,127473391,127475302,10_Control.SJ.out,1,-,SOGA3|annotated|1
chr6,127473391,127475302,10_Control.SJ.out,1,-,RP3-403A15.5|annotated|1
chr6,136372649,136377755,10_Control.SJ.out,4,-,MAP7|annotated|1
chr7,13310323,13636646,10_Control.SJ.out,1,+,AC011288.2|annotated|1
chr7,90405608,90412007,10_Control.SJ.out,1,+,CLDN12|annotated|1
chr7,122044568,122047674,10_Control.SJ.out,3,+,PTPRZ1|annotated|1
chr7,128801473,128804650,10_Control.SJ.out,2,+,CCDC136|annotated|1
chr8,28891484,28963811,10_Control.SJ.out,1,+,HMBOX1|annotated|1
chr8,28891790,28963811,10_Control.SJ.out,1,+,HMBOX1|annotated|1
chr8,41672426,41684544,10_Control.SJ.out,1,-,ANK1|annotated|1
chr8,49912231,50394212,10_Control.SJ.out,0,+,SNTG1|annotated|1
chr8,108241913,108309336,10_Control.SJ.out,1,-,EIF3E|annotated|1
chr8,140890769,140948666,10_Control.SJ.out,1,-,PTK2|annotated|1
chr9,32384735,32386371,10_Control.SJ.out,1,+,ACO1|annotated|1
chr9,35684550,35685064,10_Control.SJ.out,2,-,TPM2|annotated|2
chr9,89418437,89455888,10_Control.SJ.out,1,-,SEMA4D|annotated|1
chr9,92713461,92715253,10_Control.SJ.out,1,-,BICD2|annotated|2
chr9,131486541,131487167,10_Control.SJ.out,1,+,PRRC2B|novel_donor|1
chrX,81118488,81118730,10_Control.SJ.out,2,-,HMGN5|novel_acceptor|1
chrX,101658569,101659076,10_Control.SJ.out,1,-,ARMCX2|annotated|1
chrX,107065758,107067556,10_Control.SJ.out,1,-,RBM41|annotated|1
chrX,109537270,109538045,10_Control.SJ.out,1,+,NXT2|annotated|1
chr1,1709640,1716346,16_sALS.SJ.out,0,-,CDK11A|ambig_gene|1
chr1,1709640,1716346,16_sALS.SJ.out,0,-,RP1-283E3.8|ambig_gene|1
chr1,1709640,1716346,16_sALS.SJ.out,0,-,CDK11A|ambig_gene|1
chr1,1709640,1716346,16_sALS.SJ.out,0,-,RP1-283E3.8|ambig_gene|1
chr1,1709640,1716346,16_sALS.SJ.out,0,-,CDK11A|ambig_gene|1
chr1,1709640,1716346,16_sALS.SJ.out,0,-,RP1-283E3.8|ambig_gene|1
chr1,1709640,1716346,16_sALS.SJ.out,0,-,CDK11A|ambig_gene|1
chr1,1709640,1716346,16_sALS.SJ.out,0,-,RP1-283E3.8|ambig_gene|1
chr1,1709640,1716346,16_sALS.SJ.out,0,-,CDK11A|ambig_gene|1
chr1,1709640,1716346,16_sALS.SJ.out,0,-,RP1-283E3.8|ambig_gene|1
chr1,1709640,1716346,16_sALS.SJ.out,0,-,CDK11A|ambig_gene|1
chr1,1709640,1716346,16_sALS.SJ.out,0,-,RP1-283E3.8|ambig_gene|1
chr1,1709640,1716346,16_sALS.SJ.out,0,-,CDK11A|ambig_gene|1
chr1,1709640,1716346,16_sALS.SJ.out,0,-,RP1-283E3.8|ambig_gene|1
chr1,1709640,1716346,16_sALS.SJ.out,0,-,CDK11A|ambig_gene|1
chr1,1709640,1716346,16_sALS.SJ.out,0,-,RP1-283E3.8|ambig_gene|1
chr1,1709640,1716346,16_sALS.SJ.out,0,-,CDK11A|ambig_gene|1
chr1,1709640,1716346,16_sALS.SJ.out,0,-,RP1-283E3.8|ambig_gene|1
chr1,1709640,1716346,16_sALS.SJ.out,0,-,CDK11A|ambig_gene|1
chr1,1709640,1716346,16_sALS.SJ.out,0,-,RP1-283E3.8|ambig_gene|1
chr1,1709640,1716346,16_sALS.SJ.out,0,-,CDK11A|ambig_gene|1
chr1,1709640,1716346,16_sALS.SJ.out,0,-,RP1-283E3.8|ambig_gene|1
chr1,1709640,1716346,16_sALS.SJ.out,0,-,CDK11A|ambig_gene|1
chr1,1709640,1716346,16_sALS.SJ.out,0,-,RP1-283E3.8|ambig_gene|1
chr1,10105744,10106197,16_sALS.SJ.out,1,+,UBE4B|annotated|1
chr1,13749487,13769118,16_sALS.SJ.out,1,+,PRDM2|annotated|1
chr1,20807500,20813158,16_sALS.SJ.out,3,-,EIF4G3|novel_exon_skip|1
chr1,28579587,28579683,16_sALS.SJ.out,6,-,SNHG12|novel_donor|1
chr1,29058645,29064982,16_sALS.SJ.out,5,+,EPB41|annotated|1
chr1,30980178,30981312,16_sALS.SJ.out,2,-,PUM1|annotated|1
chr1,40489624,40490780,16_sALS.SJ.out,2,+,ZFP69|annotated|1
chr1,41041565,41046407,16_sALS.SJ.out,0,-,SCMH1|annotated|1
chr1,81936837,81942034,16_sALS.SJ.out,2,+,ADGRL2|annotated|1
chr1,109670234,109671287,16_sALS.SJ.out,5,+,GSTM2|annotated|1
chr1,148868622,148929197,16_sALS.SJ.out,5,+,PDE4DIP|novel_exon_skip|1
chr1,150994699,150995260,16_sALS.SJ.out,0,+,ANXA9|annotated|1
chr1,155831620,155853276,16_sALS.SJ.out,1,-,GON4L|annotated|1
chr1,201889616,201891401,16_sALS.SJ.out,1,+,SHISA4|novel_exon_skip|1
chr1,204988806,204991292,16_sALS.SJ.out,1,+,NFASC|annotated|1
chr10,45740246,45741980,16_sALS.SJ.out,0,+,WASHC2C|novel_acceptor|1
chr10,60279639,60300319,16_sALS.SJ.out,2,-,ANK3|annotated|1
chr10,67823392,67835392,16_sALS.SJ.out,2,-,DNAJC12|novel_donor|4
chr10,77019099,77027823,16_sALS.SJ.out,8,-,KCNMA1|annotated|1
chr10,97866951,97867732,16_sALS.SJ.out,4,+,GOLGA7B|none|2
chr10,102920101,102927345,16_sALS.SJ.out,2,+,CNNM2|annotated|1
chr11,20051333,20054080,16_sALS.SJ.out,1,+,NAV2|annotated|1
chr11,61438113,61469270,16_sALS.SJ.out,2,+,RP11-286N22.8|ambig_gene|1
chr11,61469340,61472745,16_sALS.SJ.out,2,+,RP11-286N22.8|none|2
chr11,61469340,61472745,16_sALS.SJ.out,2,+,ENSG00000256591|none|1
chr11,61469340,61472745,16_sALS.SJ.out,2,+,RP11-286N22.8|none|2
chr11,61469340,61472745,16_sALS.SJ.out,2,+,ENSG00000256591|none|1
chr11,61469340,61472745,16_sALS.SJ.out,2,+,RP11-286N22.8|none|2
chr11,61469340,61472745,16_sALS.SJ.out,2,+,ENSG00000256591|none|1
chr11,61469340,61472745,16_sALS.SJ.out,2,+,RP11-286N22.8|none|2
chr11,61469340,61472745,16_sALS.SJ.out,2,+,ENSG00000256591|none|1
chr11,65885663,65887600,16_sALS.SJ.out,4,-,FIBP|annotated|1
chr11,87091395,87236638,16_sALS.SJ.out,3,+,TMEM135|annotated|1
chr11,113235164,113246368,16_sALS.SJ.out,1,+,NCAM1|annotated|1
chr11,113246370,113255877,16_sALS.SJ.out,0,+,NCAM1|annotated|1
chr11,123578430,123584312,16_sALS.SJ.out,1,+,GRAMD1B|annotated|1
chr11,128992046,128998319,16_sALS.SJ.out,1,-,ARHGAP32|novel_acceptor|7
chr12,8193655,8194203,16_sALS.SJ.out,0,+,FAM66C|annotated|1
chr12,27302188,27309114,16_sALS.SJ.out,0,+,STK38L|annotated|1
chr12,27656730,27658816,16_sALS.SJ.out,10,+,PPFIBP1|annotated|1
chr12,27658848,27660884,16_sALS.SJ.out,7,+,PPFIBP1|annotated|1
chr12,27673827,27676428,16_sALS.SJ.out,1,+,PPFIBP1|annotated|1
chr12,39326324,39330746,16_sALS.SJ.out,2,-,KIF21A|annotated|1
chr12,49742280,49752464,16_sALS.SJ.out,0,+,TMBIM6|annotated|1
chr12,70294294,70310895,16_sALS.SJ.out,1,+,CNOT2|annotated|1
chr12,79805768,79807226,16_sALS.SJ.out,1,-,PPP1R12A|annotated|1
chr12,100108548,100128580,16_sALS.SJ.out,1,-,UHRF1BP1L|annotated|1
chr12,109939247,109942842,16_sALS.SJ.out,4,-,GIT2|annotated|1
chr12,118151158,118151927,16_sALS.SJ.out,1,-,TAOK3|novel_donor|2
chr13,75804541,75809154,16_sALS.SJ.out,9,+,LMO7|annotated|1
chr14,23298917,23299401,16_sALS.SJ.out,6,-,PPP1R3E|annotated|1
chr14,50754867,50756492,16_sALS.SJ.out,1,-,NIN|annotated|2
chr14,50758630,50759857,16_sALS.SJ.out,3,-,NIN|annotated|1
chr14,75053659,75056447,16_sALS.SJ.out,4,-,ACYP1|novel_donor|1
chr14,75902224,75906555,16_sALS.SJ.out,1,+,TTLL5|annotated|1
chr15,22774313,22810749,16_sALS.SJ.out,0,+,NIPA1|annotated|1
chr15,30903887,30904512,16_sALS.SJ.out,0,+,FAN1|annotated|1
chr15,33842035,33844862,16_sALS.SJ.out,1,+,RYR3|annotated|1
chr15,99131813,99132750,16_sALS.SJ.out,2,+,SYNM|annotated|1
chr16,11937668,11941983,16_sALS.SJ.out,0,-,NPIPB2|annotated|1
chr16,12129758,12135551,16_sALS.SJ.out,2,+,SNX29|annotated|1
chr16,18372854,18374832,16_sALS.SJ.out,0,-,NPIPA9|annotated|2
chr16,22519269,22523820,16_sALS.SJ.out,0,+,NPIPB5|annotated|1
chr16,69711281,69714964,16_sALS.SJ.out,1,-,NQO1|annotated|1
chr16,69982545,69982658,16_sALS.SJ.out,0,-,NPIPB14P|annotated|1
chr17,1472228,1474812,16_sALS.SJ.out,1,-,MYO1C|novel_exon_skip|4
chr17,5474789,5477848,16_sALS.SJ.out,1,-,DERL2|novel_donor|1
chr17,8463354,8466930,16_sALS.SJ.out,1,+,NDEL1|annotated|1
chr17,18856429,18865802,16_sALS.SJ.out,4,+,PRPSAP2|novel_exon_skip|1
chr17,20110562,20204333,16_sALS.SJ.out,2,+,SPECC1|annotated|1
chr17,32008132,32021393,16_sALS.SJ.out,2,+,LRRC37B|annotated|1
chr17,35844818,35844840,16_sALS.SJ.out,1,+,TAF15|none|2
chr17,43170611,43175791,16_sALS.SJ.out,2,+,NBR1|annotated|1
chr17,43536498,43544162,16_sALS.SJ.out,0,+,DHX8|annotated|1
chr17,48055150,48056386,16_sALS.SJ.out,0,+,NFE2L1|annotated|1
chr17,64480389,64481246,16_sALS.SJ.out,1,-,POLG2|annotated|1
chr17,77214019,77216549,16_sALS.SJ.out,40,+,SEC14L1|annotated|1
chr17,78692493,78696007,16_sALS.SJ.out,1,-,CYTH1|annotated|1
chr17,78696009,78698269,16_sALS.SJ.out,1,-,CYTH1|annotated|1
chr18,5398143,5400969,16_sALS.SJ.out,4,-,EPB41L3|annotated|1
chr18,13438384,13445160,16_sALS.SJ.out,1,+,LDLRAD4|novel_acceptor|1
chr18,57620648,57621708,16_sALS.SJ.out,1,-,NARS1|annotated|1
chr19,17618962,17624829,16_sALS.SJ.out,4,-,UNC13A|annotated|1
chr19,34391409,34392059,16_sALS.SJ.out,3,+,GPI|none|1
chr19,34391559,34391912,16_sALS.SJ.out,1,+,GPI|none|1
chr19,34391694,34391993,16_sALS.SJ.out,1,+,GPI|none|1
chr19,34391694,34392043,16_sALS.SJ.out,0,+,GPI|none|2
chr19,36548322,36549235,16_sALS.SJ.out,1,-,ZNF529|novel_donor|1
chr19,52543347,52553107,16_sALS.SJ.out,1,+,ZNF808|annotated|1
chr19,52801702,52808007,16_sALS.SJ.out,0,-,ZNF28|annotated|1
chr19,53175571,53182884,16_sALS.SJ.out,0,-,ZNF665|annotated|1
chr2,24793520,24793852,16_sALS.SJ.out,1,+,CENPO|annotated|1
chr2,32064246,32087495,16_sALS.SJ.out,14,+,SPAST|annotated|1
chr2,39190379,39204527,16_sALS.SJ.out,1,-,CDKL4|novel_acceptor|1
chr2,54987698,55010087,16_sALS.SJ.out,4,-,RTN4|annotated|1
chr2,62831158,62859169,16_sALS.SJ.out,11,+,EHBP1|annotated|2
chr2,63842599,63856306,16_sALS.SJ.out,1,+,UGP2|annotated|1
chr2,68513680,68515585,16_sALS.SJ.out,1,+,APLF|novel_acceptor|1
chr2,159395834,159397068,16_sALS.SJ.out,1,-,BAZ2B|novel_donor|1
chr2,159395834,159397074,16_sALS.SJ.out,19,-,BAZ2B|annotated|1
chr2,159397100,159397345,16_sALS.SJ.out,11,-,BAZ2B|annotated|1
chr2,200881488,200885698,16_sALS.SJ.out,1,-,PPIL3|annotated|1
chr2,208273733,208274018,16_sALS.SJ.out,6,+,PIKFYVE|annotated|1
chr2,208274053,208276712,16_sALS.SJ.out,1,+,PIKFYVE|annotated|1
chr2,218650526,218656150,16_sALS.SJ.out,10,-,ZNF142|annotated|1
chr2,241316540,241317499,16_sALS.SJ.out,8,+,SEPTIN2|annotated|1
chr20,13587370,13616857,16_sALS.SJ.out,1,-,TASP1|annotated|1
chr21,41994108,42002897,16_sALS.SJ.out,4,-,ZBTB21|annotated|1
chr22,17706825,17726677,16_sALS.SJ.out,2,+,BCL2L13|annotated|1
chr3,10329125,10331983,16_sALS.SJ.out,9,-,ATP2B2|annotated|1
chr3,12901522,12908349,16_sALS.SJ.out,1,-,IQSEC1|annotated|1
chr3,37066325,37072790,16_sALS.SJ.out,2,-,LRRFIP2|annotated|1
chr3,37072882,37075024,16_sALS.SJ.out,4,-,LRRFIP2|annotated|1
chr3,51984158,51985361,16_sALS.SJ.out,1,+,ABHD14A-ACY1|annotated|2
chr3,51984158,51985361,16_sALS.SJ.out,1,+,ACY1|annotated|2
chr3,51984158,51985361,16_sALS.SJ.out,1,+,ABHD14A-ACY1|annotated|2
chr3,51984158,51985361,16_sALS.SJ.out,1,+,ACY1|annotated|2
chr3,51984158,51985361,16_sALS.SJ.out,1,+,ABHD14A-ACY1|annotated|2
chr3,51984158,51985361,16_sALS.SJ.out,1,+,ACY1|annotated|2
chr3,51984158,51985361,16_sALS.SJ.out,1,+,ABHD14A-ACY1|annotated|2
chr3,51984158,51985361,16_sALS.SJ.out,1,+,ACY1|annotated|2
chr3,51984158,51985361,16_sALS.SJ.out,1,+,ABHD14A-ACY1|annotated|2
chr3,51984158,51985361,16_sALS.SJ.out,1,+,ACY1|annotated|2
chr3,51984158,51985361,16_sALS.SJ.out,1,+,ABHD14A-ACY1|annotated|2
chr3,51984158,51985361,16_sALS.SJ.out,1,+,ACY1|annotated|2
chr3,51984158,51985361,16_sALS.SJ.out,1,+,ABHD14A-ACY1|annotated|2
chr3,51984158,51985361,16_sALS.SJ.out,1,+,ACY1|annotated|2
chr3,51984158,51985361,16_sALS.SJ.out,1,+,ABHD14A-ACY1|annotated|2
chr3,51984158,51985361,16_sALS.SJ.out,1,+,ACY1|annotated|2
chr3,58412963,58420536,16_sALS.SJ.out,4,+,PXK|annotated|1
chr3,65364946,65379261,16_sALS.SJ.out,5,-,MAGI1|annotated|1
chr3,75739345,75741276,16_sALS.SJ.out,1,-,ZNF717|annotated|1
chr3,142736533,142743485,16_sALS.SJ.out,6,+,TRPC1|annotated|1
chr3,150411308,150423049,16_sALS.SJ.out,2,+,TSC22D2|annotated|1
chr3,150438354,150457076,16_sALS.SJ.out,2,+,TSC22D2|annotated|1
chr3,170178938,170181687,16_sALS.SJ.out,8,-,PHC3|annotated|1
chr3,197297235,197298536,16_sALS.SJ.out,1,-,DLG1|annotated|1
chr4,41473195,41494536,16_sALS.SJ.out,1,+,LIMCH1|novel_donor|1
chr4,94573393,94575943,16_sALS.SJ.out,2,+,PDLIM5|annotated|1
chr4,104472366,104494506,16_sALS.SJ.out,1,-,CXXC4|annotated|1
chr4,118591895,118594567,16_sALS.SJ.out,0,+,RP11-384K6.6|novel_acceptor|1
chr4,143382030,143415477,16_sALS.SJ.out,3,+,GAB1|annotated|1
chr4,153748786,153751438,16_sALS.SJ.out,1,-,RNF175|annotated|1
chr4,185639035,185646668,16_sALS.SJ.out,1,-,SORBS2|annotated|1
chr5,34949677,34950170,16_sALS.SJ.out,2,+,DNAJC21|annotated|1
chr5,70475600,70478482,16_sALS.SJ.out,0,+,NAIPP1|annotated|1
chr5,98860068,98868495,16_sALS.SJ.out,1,-,CHD1|annotated|1
chr5,181056015,181056538,16_sALS.SJ.out,7,+,BTNL9|annotated|2
chr6,127473391,127475302,16_sALS.SJ.out,6,-,SOGA3|annotated|1
chr6,127473391,127475302,16_sALS.SJ.out,6,-,RP3-403A15.5|annotated|1
chr6,127473391,127475302,16_sALS.SJ.out,6,-,SOGA3|annotated|1
chr6,127473391,127475302,16_sALS.SJ.out,6,-,RP3-403A15.5|annotated|1
chr6,127473391,127475302,16_sALS.SJ.out,6,-,SOGA3|annotated|1
chr6,127473391,127475302,16_sALS.SJ.out,6,-,RP3-403A15.5|annotated|1
chr6,127473391,127475302,16_sALS.SJ.out,6,-,SOGA3|annotated|1
chr6,127473391,127475302,16_sALS.SJ.out,6,-,RP3-403A15.5|annotated|1
chr6,152143765,152145487,16_sALS.SJ.out,2,-,SYNE1|annotated|1
chr6,159679298,159682474,16_sALS.SJ.out,2,-,SOD2|annotated|1
chr6,161097176,161101892,16_sALS.SJ.out,1,+,MAP3K4|annotated|1
